Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
07/07/2008,17:00,"Briggate at McDonalds	",1000,Monday,28,July,2008
07/07/2008,18:00,"Briggate at McDonalds	",543,Monday,28,July,2008
07/07/2008,19:00,"Briggate at McDonalds	",368,Monday,28,July,2008
07/07/2008,20:00,"Briggate at McDonalds	",324,Monday,28,July,2008
07/07/2008,21:00,"Briggate at McDonalds	",227,Monday,28,July,2008
07/07/2008,22:00,"Briggate at McDonalds	",161,Monday,28,July,2008
07/07/2008,23:00,"Briggate at McDonalds	",116,Monday,28,July,2008
08/07/2008,00:00,"Briggate at McDonalds	",45,Tuesday,28,July,2008
08/07/2008,01:00,"Briggate at McDonalds	",21,Tuesday,28,July,2008
08/07/2008,02:00,"Briggate at McDonalds	",17,Tuesday,28,July,2008
08/07/2008,03:00,"Briggate at McDonalds	",12,Tuesday,28,July,2008
08/07/2008,04:00,"Briggate at McDonalds	",7,Tuesday,28,July,2008
08/07/2008,05:00,"Briggate at McDonalds	",29,Tuesday,28,July,2008
08/07/2008,06:00,"Briggate at McDonalds	",105,Tuesday,28,July,2008
08/07/2008,07:00,"Briggate at McDonalds	",290,Tuesday,28,July,2008
08/07/2008,08:00,"Briggate at McDonalds	",603,Tuesday,28,July,2008
08/07/2008,09:00,"Briggate at McDonalds	",675,Tuesday,28,July,2008
08/07/2008,10:00,"Briggate at McDonalds	",985,Tuesday,28,July,2008
08/07/2008,11:00,"Briggate at McDonalds	",1411,Tuesday,28,July,2008
08/07/2008,12:00,"Briggate at McDonalds	",2199,Tuesday,28,July,2008
08/07/2008,13:00,"Briggate at McDonalds	",2201,Tuesday,28,July,2008
08/07/2008,14:00,"Briggate at McDonalds	",1819,Tuesday,28,July,2008
08/07/2008,15:00,"Briggate at McDonalds	",1698,Tuesday,28,July,2008
08/07/2008,16:00,"Briggate at McDonalds	",1625,Tuesday,28,July,2008
08/07/2008,17:00,"Briggate at McDonalds	",1490,Tuesday,28,July,2008
08/07/2008,18:00,"Briggate at McDonalds	",875,Tuesday,28,July,2008
08/07/2008,19:00,"Briggate at McDonalds	",395,Tuesday,28,July,2008
08/07/2008,20:00,"Briggate at McDonalds	",324,Tuesday,28,July,2008
08/07/2008,21:00,"Briggate at McDonalds	",236,Tuesday,28,July,2008
08/07/2008,22:00,"Briggate at McDonalds	",168,Tuesday,28,July,2008
08/07/2008,23:00,"Briggate at McDonalds	",121,Tuesday,28,July,2008
09/07/2008,00:00,"Briggate at McDonalds	",63,Wednesday,28,July,2008
09/07/2008,01:00,"Briggate at McDonalds	",32,Wednesday,28,July,2008
09/07/2008,02:00,"Briggate at McDonalds	",16,Wednesday,28,July,2008
09/07/2008,03:00,"Briggate at McDonalds	",26,Wednesday,28,July,2008
09/07/2008,04:00,"Briggate at McDonalds	",6,Wednesday,28,July,2008
09/07/2008,05:00,"Briggate at McDonalds	",31,Wednesday,28,July,2008
09/07/2008,06:00,"Briggate at McDonalds	",102,Wednesday,28,July,2008
09/07/2008,07:00,"Briggate at McDonalds	",271,Wednesday,28,July,2008
09/07/2008,08:00,"Briggate at McDonalds	",618,Wednesday,28,July,2008
09/07/2008,09:00,"Briggate at McDonalds	",652,Wednesday,28,July,2008
09/07/2008,10:00,"Briggate at McDonalds	",1031,Wednesday,28,July,2008
09/07/2008,11:00,"Briggate at McDonalds	",1437,Wednesday,28,July,2008
09/07/2008,12:00,"Briggate at McDonalds	",2075,Wednesday,28,July,2008
09/07/2008,13:00,"Briggate at McDonalds	",1786,Wednesday,28,July,2008
09/07/2008,14:00,"Briggate at McDonalds	",1539,Wednesday,28,July,2008
09/07/2008,15:00,"Briggate at McDonalds	",1737,Wednesday,28,July,2008
09/07/2008,16:00,"Briggate at McDonalds	",1472,Wednesday,28,July,2008
09/07/2008,17:00,"Briggate at McDonalds	",1310,Wednesday,28,July,2008
09/07/2008,18:00,"Briggate at McDonalds	",604,Wednesday,28,July,2008
09/07/2008,19:00,"Briggate at McDonalds	",358,Wednesday,28,July,2008
09/07/2008,20:00,"Briggate at McDonalds	",299,Wednesday,28,July,2008
09/07/2008,21:00,"Briggate at McDonalds	",227,Wednesday,28,July,2008
09/07/2008,22:00,"Briggate at McDonalds	",168,Wednesday,28,July,2008
09/07/2008,23:00,"Briggate at McDonalds	",75,Wednesday,28,July,2008
10/07/2008,00:00,"Briggate at McDonalds	",55,Thursday,28,July,2008
10/07/2008,01:00,"Briggate at McDonalds	",15,Thursday,28,July,2008
10/07/2008,02:00,"Briggate at McDonalds	",27,Thursday,28,July,2008
10/07/2008,03:00,"Briggate at McDonalds	",17,Thursday,28,July,2008
10/07/2008,04:00,"Briggate at McDonalds	",8,Thursday,28,July,2008
